Relatório de Informações Cadastrais e Financeiras de Garantias
Data de Emissão: 19/11/2019 14:44
Tipo de Dívida: Interna - Externa
Selecionar mutuário(s) por: Não Informado
Credor(es): Não Informado
Selecionar operação de crédito por: Não Informado
Posição: Diária
Tipo de Cálculo: Apropriação
Data de Referência: 18/11/2019

Nome do Contrato;Inscrição Genérica;Mutuário;Tipo Mutuário;UF;Região;Agrupador de Tipo Mutuário;CAPAG;Tipo de Dívida;Credor;Classificação de Credor;Contragarantia;Fase;Projeto;Número do Processo;ROF/CADIP;Data de Assinatura;Data Limite de Desembolso;Indexador do Contrato;Tipo de Indexador de Juros;Indexador de Juros;Moeda de Origem;Valor Contratado Original;Saldo a Desembolsar;Saldo Devedor
BIRD7951-BR;12149;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa com Enfoque Setorial Amplo das Áreas de Saúde e Recursos Hídricos do Estado da Bahia";17944.000425/2010-41;LINHB070;18/07/2012;28/04/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;60.000.000,00;0,00;54.436.469,22;
BIRD7952-BR;12148;Santa Catarina;Estados;SC;Sul;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Totalmente Desembolsado;"Programa Santa Catarina Rural ¿ MICROBACIAS 3";17944.001664/2009-85;LINHB071;30/09/2010;30/10/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;90.000.000,00;0,00;90.000.000,00;
BIRD7955-BR;11809;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Renovação e Fortalecimento da Gestão Pública ¿ 
PRÓ-GESTÃO";17944.000493/2010-19;TA548720;22/11/2010;25/04/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 4 + 0%, Tranche Prevista 1: 100% VSL 4 + 0%;USD;18.673.000,00;0,00;7.876.569,57;
BIRD7964-BR;12147;CAIXA;Bancos Federais;00;Federal;Garantias a Estatais Federais;;Externa;BIRD;Organismos Multilaterais;Dispensa - Art 40 da LRF - Órgãos e entidades do próprio ente;Amortizando;"Programa de Financiamento para a Gestão de Resíduos Sólidos Urbanos e Mecanismos de Desenvolvimento Limpo ¿ CEF";10951.000864/2010-16;LINHB073;05/12/2011;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 0,8%, Tranche Prevista 1: 100% Libor + 0,8%;USD;50.000.000,00;0,00;15.283.241,46;
BIRD8011-BR;11810;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa Nacional de Desenvolvimento do Turismo ¿ PRODETUR NACIONAL";17944.000131/2011-09;TA575220;09/08/2011;31/12/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;485.000.000,00;0,00;415.742.000,00;
BIRD8113-BR;12146;Sergipe;Estados;SE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa Águas de Sergipe e o Banco Internacional";17944.001076/2011-66;LINHB075;13/09/2012;30/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1%, Tranche Prevista 1: 100% Libor + 1%;USD;70.275.000,00;16.726.573,51;47.882.271,85;
BIRD8117-BR;11812;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Adicional ao Programa Estadual de Transportes 2 ¿ PET 2 do Estado do Rio de Janeiro";17944.001680/2011-92;TA602444;05/09/2012;30/04/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;600.000.000,00;96.931.311,93;381.486.504,98;
BIRD8124-BR;12145;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Projeto de Desenvolvimento Rural Sustentável ¿ Projeto São José III ¿ CE";17944.000047/2012-68;LINHB077;03/10/2012;30/08/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 0,7%, Tranche Efetiva 2: 100% Libor + 0,007%, Tranche Prevista 1: 100% Libor + 0,7%;USD;100.000.000,00;0,00;89.332.516,43;
BIRD8128-BR;12143;Piauí;Estados;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Desenvolvimento Sustentável do Piauí-DPL";17944.002102/2011-73;LINHB078;15/05/2012;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 0,5%, Tranche Prevista 1: 100% Libor + 0,5%;USD;350.000.000,00;0,00;285.250.000,00;
BIRD8135-BR;12142;Pernambuco;Estados;PE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Projeto Pernambuco Rural Sustentável";17944.000379/2011-61;LINHB079;18/06/2012;30/11/2019;;Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 2: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;100.000.000,00;11.442.763,02;58.040.468,82;
BIRD8142-BR;12141;Pernambuco;Estados;PE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Desenvolvimento das Políticas Públicas do Estado de Pernambuco (DPL)";17944.000148/2012-39;LINHB080;13/04/2012;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;500.000.000,00;0,00;440.000.000,00;
BIRD8149-BR;12140;São Bernardo do Campo;Municípios;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Saneamento Ambiental dos Mananciais da Bacia Hidrográfica do Alto Tietê (Programa Mananciais) ¿ São Bernardo do Campo";17944.001480/2011-30;LINHB081;29/10/2012;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;20.820.000,00;0,00;86.070,93;
BIRD8155-BR;12139;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Apoio à Retomada do Desenvolvimento Econômico e Social do Estado do Rio grande do Sul";17944.000149/2012-83;LINHB082;11/09/2012;28/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;480.000.000,00;3.735.322,58;474.885.907,39;
BIRD8168-BR;12138;Recife;Municípios;PE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Desenvolvimento da Educação e da Gestão Pública no Município de Recife";17944.001712/2011-50;LINHB083;31/10/2012;30/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;130.000.000,00;26.630.528,68;101.782.149,28;
BIRD8169-BR;12181;Belo Horizonte;Municípios;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Desenvolvimento de Políticas Públicas do Estado do Acre";17944.000147/2012-94;mv000084;10/12/2013;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;200.000.000,00;0,00;190.800.000,00;
BIRD8177-BR;12135;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"PROINCLUSÃO - Programa de Inclusão e Desenvolvimento Socioeconômico do Estado da Bahia";17944.000575/2012-17;LINHB085;18/12/2012;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;700.000.000,00;0,00;657.020.000,00;
BIRD8185-BR;12134;Tocantins;Estados;TO;Norte;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Projeto de Desenvolvimento Integrado e Sustentável - PDRIS";17944.000337/2012-10;LINHB086;06/12/2012;30/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;300.000.000,00;97.213.292,20;180.595.633,42;
BIRD8187-BR;12133;Minas Gerais;Estados;MG;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Terceiro Programa de Parceria para o Desenvolvimento de Minas Gerais";17944.000482/2012-92;TA625165;26/11/2012;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;450.000.000,00;0,00;405.000.000,00;
BIRD8191-BR;11811;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Desenvolvimento Econômico, Social e de Sustentabilidade Fiscal do Estado do Rio de Janeiro-PRODESF-II";17944.000492/2012-28;TA622808;30/10/2012;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;300.000.000,00;0,00;288.000.000,00;
BIRD8200-BR;12046;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Projeto de Desenvolvimento Rural Sustentável em Microbacias Hidrográficas (RIO RURAL)";17944.000508/2012-01;TA628125;19/08/2013;30/06/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;100.000.000,00;0,00;49.159.471,09;
BIRD8201-BR;12132;Paraná;Estados;PR;Sul;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Projeto Multissetorial  para o Desenvolvimento do Estado do Paraná";17944.000812/2012-40;LINHB090;12/12/2013;30/03/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;350.000.000,00;29.381.754,34;318.074.495,66;
BIRD8257-BR;12131;Sergipe;Estados;SE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Projeto de Políticas de Desenvolvimento no Estado de Sergipe";17944.001345/2012-75;LINHB091;18/09/2013;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;150.000.000,00;0,00;142.530.000,00;
BIRD8271-BR;12130;Rio de Janeiro;Municípios;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Projeto Rio de Excelência ¿ Município do Rio de Janeiro";17944.001383/2012-28;LINHB092;26/08/2014;30/12/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Efetiva 2: 100% VSL 3 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;16.200.000,00;0,00;10.987.859,90;
BIRD8272-BR;12129;São Paulo;Estados;SP;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Transporte, Logística e Meio Ambiente do Estado de São Paulo";17944.000175/2013-92;LINHB093;24/09/2013;30/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;300.000.000,00;51.632.068,78;235.506.967,99;
BIRD8276-BR;12128;Rio Grande do Norte;Estados;RN;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Projeto Integrado de Desenvolvimento Sustentável do Rio Grande do Norte";17944.000214/2013-51;TA652795;04/10/2013;30/11/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% Libor + 1%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;360.000.000,00;128.926.007,49;224.091.371,07;
BIRD8284-BR;12126;Pernambuco;Estados;PE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Desenvolvimento das Políticas Públicas do Estado de Pernambuco II ¿ DPL";17944.000235/2013-77;LINHB095;18/07/2013;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;550.000.000,00;0,00;517.000.000,00;
BIRD8302-BR;12186;Ceará;Estados;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Apoio ao crescimento Econômico com redução das Desigualdades e Sustentabilidade Ambiental do estado do Ceará (P4R)";17944.000218/2013-30;mv100000;19/12/2013;31/08/2019;;Tranche Efetiva 1: Pós-fixado, Tranche Efetiva 2: Pós-fixado, Tranche Prevista 1: Pós-fixado, Tranche Prevista 2: Pós-fixado;Tranche Efetiva 1: 100% VSL 4 + 0%, Tranche Efetiva 2: 100% VSL 4 + 0%, Tranche Prevista 1: 100% VSL 4 + 0%, Tranche Prevista 2: 100% VSL 4 + 0%;USD;350.000.000,00;0,00;344.148.731,42;
BIRD8307-BR;11814;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Totalmente Desembolsado;"Programa de Melhoramento da Qualidade e Integração dos Transportes de Massa Urbanos ¿ PROMIT";17944.001228/2013-92;TA668707;03/12/2013;31/01/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;500.000.000,00;0,00;500.000.000,00;
BIRD8310-BR;12125;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Desenvolvimento de Políticas Públicas do Estado do Acre";17944.001367/2013-16;LINHB099;10/12/2013;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;250.000.000,00;0,00;238.100.000,00;
BIRD8327-BR;11815;Rio de Janeiro;Estados;RJ;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa PROGESTÃO II ¿ RIO DE JANEIRO";17944.000158/2013-55;TA666379;30/04/2014;31/12/2018;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;48.000.000,00;0,00;7.468.975,56;
BIRD8353-BR;12124;Espírito Santo;Estados;ES;Sudeste;Garantias a Estados, Municípios e Entidades Controladas;A;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Programa de Gestão Integrada das Águas e da Paisagem do Espírito Santo";17944.001644/2013-91;LINHB101;28/09/2015;30/08/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;225.000.000,00;193.637.204,90;31.223.724,68;
BIRD8376-BR;12123;Amazonas;Estados;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Consolidação do Equilíbrio Fiscal para a Melhoria da Prestação de Serviços Públicos do Estado do Amazonas";17944.000268/2014-06;LINHAB10;23/09/2014;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;216.000.000,00;0,00;210.600.000,00;
BIRD8379-BR;12122;Rio Grande do Sul;Estados;RS;Sul;Garantias a Estados, Municípios e Entidades Controladas;D;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento do Estado do Rio Grande do Sul ¿ PROCONFIS II";17944.001874/2013-50;LINHB103;20/08/2014;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;280.000.000,00;0,00;279.440.000,00;
BIRD8414-BR;12111;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Inclusão e Desenvolvimento Sócioeconômico do Estado da Bahia ¿ 2ª Etapa ¿ PROINCLUSÃO II";17944.000853/2014-06;LINHB104;14/08/2014;31/01/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;400.000.000,00;0,00;387.200.000,00;
BIRD8415-BR;12106;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando e Amortizando;"Projeto de Desenvolvimento Rural Sustentável do Estado da Bahia";17944.000716/2014-63;LINHB105;29/08/2014;31/07/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;150.000.000,00;65.158.888,00;82.606.216,34;
BIRD8442-BR;12098;Acre;Estados;AC;Norte;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa de Saneamento Ambiental e Inclusão Socioeconômica do Acre";17944.000944/2014-33;LINHB106;17/03/2016;31/07/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;150.000.000,00;82.640.568,53;67.359.431,47;
BIRD8554-BR;12097;Manaus;Municípios;AM;Norte;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Totalmente Desembolsado;"Programa de consolidação do Equilíbrio Fiscal para a Melhoria da Prestação de Serviços Públicos do Município de Manaus ¿ PROCONFIS/MANAUS";17944.001849/2014-57;LINHB107;22/06/2016;31/07/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;150.000.000,00;0,00;150.000.000,00;
BIRD8567-BR;12172;Piauí;Estados;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Amortizando;"Programa de Crescimento Sustentável e Inclusivo";17944.000220/2015-71;mv000108;27/04/2016;31/08/2017;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;200.000.000,00;0,00;188.240.000,00;
BIRD8575-BR;12080;Piauí;Estados;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Projeto Piauí  Crescimento Sustentável e Inclusivo ¿ DPL";17944.000219/2015-46;LINHB109;27/04/2016;30/04/2021;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;120.000.000,00;31.748.679,00;88.251.321,00;
BIRD8580-BR;12079;Bahia;Estados;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;C;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa de Restauração e Manutenção de Rodovias Estaduais da Bahia -PREMAR 2ª Etapa.";17944.001301/2014-15;LINHB110;31/05/2016;30/10/2020;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;200.000.000,00;126.900.000,00;73.100.000,00;
BIRD8586-BR;12078;Teresina;Municípios;PI;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BIRD;Organismos Multilaterais;Transferências Constitucionais - Art. 155, 157 e 159 da CF/88;Desembolsando;"Programa Lagoas do Norte Etapa II";17944.000454/2015-18;LINHB111;27/04/2016;15/04/2022;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 5 + 0%, Tranche Prevista 1: 100% VSL 5 + 0%;USD;88.000.000,00;72.310.251,53;15.689.748,47;
BIRD8639-BR;12764;Paraíba;Estados;PB;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;B;Externa;BIRD;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Projeto Paraíba Rural Sustentável";17944.000652/2015-81;TA772403;13/03/2019;15/12/2023;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 4 + 0%, Tranche Prevista 1: 100% VSL 4 + 0%;USD;50.000.000,00;48.573.797,69;1.426.202,31;
BIRD8747-BR;12856;Fortaleza;Municípios;CE;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BIRD;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Programa Fortaleza Cidade Sustentável - Lei Municipal nº 10.543, de 18 de novembro de 2016";17944.001265/2016-43;TA802091;05/06/2019;31/07/2024;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 7 + 0%, Tranche Prevista 1: 100% VSL 7 + 0%;USD;73.300.000,00;71.616.750,00;1.683.250,00;
BIRD8818-BR;12687;Salvador;Municípios;BA;Nordeste;Garantias a Estados, Municípios e Entidades Controladas;;Externa;BIRD;Organismos Multilaterais;Receitas próprias e Transferências Constitucionais - Art 155, 157 e 159 da CF/88;Desembolsando;"Projeto Salvador Social";17944.000809/2017-31;TA815238;11/07/2018;30/04/2023;;Tranche Efetiva 1: Pós-fixado, Tranche Prevista 1: Pós-fixado;Tranche Efetiva 1: 100% VSL 4 + 0%, Tranche Prevista 1: 100% VSL 4 + 0%;USD;125.000.000,00;61.087.500,00;63.912.500,00;
